CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
01001;EL SORBITO (APD-CGD)                    ;37.2084750;-5.7066420;;;ALCALÁ DE GUADAÍRA;SEVILLA;ESPAÑA;NO;NO;
01002;LA TRINIDAD   (APT-CGD)                 ;;;;;ALCALÁ DE GUADAÍRA;SEVILLA;ESPAÑA;NO;NO;
01003;ARAHAL                                  ;37.2680810;-5.5485140;Calle Virgen de los Dolores, S/N;41600;ARAHAL;SEVILLA;ESPAÑA;NO;NO;
01004;PARADAS (APD-CGD)                       ;;;;;PARADAS;SEVILLA;ESPAÑA;NO;NO;
01005;MARCHENA                                ;37.3342820;-5.4255190;Avenida Maestro Santos Ruano, 8;41620;MARCHENA;SEVILLA;ESPAÑA;NO;NO;
01006;OJUELOS-LANTEJUELA (APD)                ;;;;;MARCHENA;SEVILLA;ESPAÑA;NO;NO;
01007;OSUNA                                   ;37.2338990;-5.1150260;Avenida Estacion Ferrocarril, S/N;41640;OSUNA;SEVILLA;ESPAÑA;NO;NO;
01008;AGUADULCE (APD)                         ;;;;;AGUADULCE;SEVILLA;ESPAÑA;NO;NO;
01009;PEDRERA                                 ;37.2223960;-4.8935190;Calle Manuel Aranda, 3;41566;PEDRERA;SEVILLA;ESPAÑA;NO;NO;
02002;PUENTE GENIL-HERRERA                    ;37.3579000;-4.8216380;Carretera A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Córdoba) y Herrera (Sevilla);14500;PUENTE GENIL;CÓRDOBA;ESPAÑA;NO;NO;PTE G
02003;ANTEQUERA-SANTA ANA                     ;37.0698810;-4.7190140;Carretera Ma-5406 - Estacion Ferrocarril, S/N;29540;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;ANTEQ
02030;ANTEQUERA AV                            ;37.0334437;-4.5612901;;;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;ANTEQ
02110;CAJA CENTRAL (MADRID                    ;;;;;MADRID;MADRID;ESPAÑA;SI;NO;
02115;CAJA DE BARCELONA                       ;;;;;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
03001;MENGÍBAR-ARTICHUELA (APD-CGD)           ;37.9782190;-3.8033080;Calle Camino Estacion Ferrocarril, S/N;23620;MENGÍBAR;JAÉN;ESPAÑA;NO;NO;
03002;VILLARGORDO (APD)                       ;37.9133590;-3.7848290;;;JAÉN;JAÉN;ESPAÑA;NO;NO;
03003;GRANENA (APD-CGD)                       ;37.8477120;-3.7653990;;;JAÉN;JAÉN;ESPAÑA;NO;NO;
03100;JAÉN                                    ;37.7798270;-3.7907980;Plaza de Jaen por la Paz, 1;23007;JAÉN;JAÉN;ESPAÑA;NO;NO;
03102;TORREDELCAMP(APD-CGD)                   ;;;;;TORRE DEL CAMPO;JAÉN;ESPAÑA;NO;NO;
03103;TORREDONJIMENO  (APD-CGD)               ;;;;;TORREDONJIMENO;JAÉN;ESPAÑA;NO;NO;
03104;MARTOS  (APD-CGD)                       ;;;;;MARTOS;JAÉN;ESPAÑA;NO;NO;
03105;VADO-JAEN (APD)                         ;;;;;MARTOS;JAÉN;ESPAÑA;NO;NO;
03106;ALCAUDETE-FTE. DE ORBE                  ;;;;;ALCAUDETE;JAÉN;ESPAÑA;NO;NO;
03107;COLLADO DE LAS ARCAS (APD)              ;;;;;LUQUE;JAÉN;ESPAÑA;NO;NO;
03108;LUQUE                                   ;;;;;LUQUE;JAÉN;ESPAÑA;NO;NO;
03109;ZUHEROS (APD)                           ;;;;;ZUHEROS;JAÉN;ESPAÑA;NO;NO;
03110;DONA MENCIA (APD)                       ;;;;;DOÑA MENCÍA;JAÉN;ESPAÑA;NO;NO;
03111;CABRA DE CORDOBA                        ;;;;;CABRA;JAÉN;ESPAÑA;NO;NO;
03112;LUCENA                                  ;;;;;LUCENA;JAÉN;ESPAÑA;NO;NO;
03113;MORILES                                 ;;;;;MORILES;JAÉN;ESPAÑA;NO;NO;
03208;CUENCA FERNANDO ZÓBEL                   ;40.0351920;-2.1444100;Avenida Cerro de la Estrella, S/N - N-320 - Circunvalacion de Cuenca;16004;CUENCA;CUENCA;ESPAÑA;NO;NO;CUENC
03213;REQUENA UTIEL                           ;39.5198340;-1.1276010;Autovia A3 - Salida 285;46340;REQUENA;VALENCIA/VALÈNCIA;ESPAÑA;NO;NO;
03216;VALENCIA JOAQUÍN SOROLLA                ;39.4590510;-0.3829230;Calle San Vicente Martir, 171;46007;VALENCIA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;VALEN
03309;VILLENA AV                              ;38.5853020;-0.8732950;Partida de San Juan, 182;03400;VILLENA;ALICANTE/ALACANT;ESPAÑA;SI;NO;
03410;ELCHE AV/ELX AV                         ;38.2455100;-0.7667500;Calle Nieve, 0;03006;ELCHE/ELX;ALICANTE/ALACANT;ESPAÑA;SI;NO;
03412;CALLOSA DE SEGURA - COX                 ;38.1227708;-0.8745727;;;CALLOSA DE SEGURA;ALICANTE/ALACANT;ESPAÑA;SI;NO;
04001;LINARES-PASEO LINAREJOS                 ;40.3471890;-3.6645780;;;LINARES;JAÉN;ESPAÑA;NO;NO;
04007;GUADALAJARA - YEBES                     ;40.5873150;-3.1243010;Carretera N-320 Sacedon-Cuenca, Km 268;19000;YEBES;GUADALAJARA;ESPAÑA;NO;NO;GUADA
04040;ZARAGOZA-DELICIAS                       ;41.658649 ;-0.911615 ;Calle Rioja, 33;50011;ZARAGOZA;ZARAGOZA;ESPAÑA;SI;NO;ZARAG
04104;CAMP TARRAGONA                          ;41.1920660;1.27266600;Calle Mas L Hereuet, S/N;43765;TARRAGONA;TARRAGONA;ESPAÑA;SI;NO;TARRA
04307;FIGUERES VILAFANT                       ;42.2647710;2.94354700;Avinguda Puig Grau, S/N;17740;VILAFANT;GIRONA;ESPAÑA;NO;NO;
05000;GRANADA                                 ;37.1840380;-3.6091540;Avenida de los Andaluces, S/N;18014;GRANADA;GRANADA;ESPAÑA;NO;NO;
05002;ATARFE-SANTAFE                          ;37.2163140;-3.6945830;;;ATARFE;GRANADA;ESPAÑA;NO;NO;
05003;SIERRA ELVIRA (APD-CGD)                 ;37.2331880;-3.7314770;;;ATARFE;GRANADA;ESPAÑA;NO;NO;
05004;PINOS PONTE   (APT-CGD)                 ;37.2472310;-3.7561480;;;PINOS PUENTE;GRANADA;ESPAÑA;NO;NO;
05005;ANZOLA (APD)                            ;37.2518180;-3.7933200;;;PINOS PUENTE;GRANADA;ESPAÑA;NO;NO;
05006;SAN PASCUAL (APD-CGD)                   ;37.2451100;-3.8286970;;;PINOS PUENTE;GRANADA;ESPAÑA;NO;NO;
05007;ILLORA-LACHAR (APD)                     ;37.2500689;-3.8590180;;;ILLORA;GRANADA;ESPAÑA;NO;NO;
05008;ALOMARTES (APD)                         ;37.2422010;-3.9113020;;;ILLORA;GRANADA;ESPAÑA;NO;NO;
05009;TOCON-MONTEFRIO   (APT)                 ;37.2328410;-3.9623810;;;ILLORA;GRANADA;ESPAÑA;NO;NO;
05010;VILLANUEVA MESIA (APD)                  ;37.2205019;-4.0117280;;;VILLANUEVA MESÍA;GRANADA;ESPAÑA;NO;NO;
05011;HUETOR-TAJAR (APD)                      ;37.2034610;-4.0599590;;;HUÉTOR TÁJAR;GRANADA;ESPAÑA;NO;NO;
05012;LOJA                                    ;37.1753720;-4.1348410;;;LOJA;GRANADA;ESPAÑA;NO;NO;
05013;LOJA-SAN FRANCISCO                      ;37.1748680;-4.1494790;Plaza Estacion Ferrocarril, 56;18300;LOJA;GRANADA;ESPAÑA;NO;NO;
05014;RIOFRIO (APD)                           ;37.1480899;-4.2035280;;;LOJA;GRANADA;ESPAÑA;NO;NO;
05015;SALINAS-VILLANUEVA TAPIA (APT)          ;37.1224720;-4.2984420;;;ARCHIDONA;MÁLAGA;ESPAÑA;NO;NO;
05016;ARCHIDONA   (APT)                       ;37.1345720;-4.4259410;;;ARCHIDONA;MÁLAGA;ESPAÑA;NO;NO;
05019;ANTEQUERA-CIUDAD                        ;37.0281710;-4.5609110;Barriada Estacion, S/N;29200;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;ANTEQ
05020;LAS MARAVILLAS (APD)                    ;;;;;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;
05023;LA PENA (APT-CGD)                       ;;;;;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;
05102;SAN XOÁN                                ;43.494664 ;-8.213713 ;Estrada San Xoan, S/N;15404;FERROL;CORUÑA, A;ESPAÑA;SI;SI;
05103;SANTA ICÍA                              ;43.500113 ;-8.199581 ;Rua Estacion Ferrocarril, 2;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05104;VIRXE DO MAR                            ;43.496509 ;-8.204876 ;Rua Ponte Das Cabras, S/N;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05105;PIÑEIROS                                ;43.509526 ;-8.183968 ;Rua Cerrallon de Arriba, S/N;15572;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05106;O PONTO                                 ;43.514774 ;-8.177783 ;Rua Maria Soliña, 13;15572;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05107;XUVIA                                   ;43.517113 ;-8.161322 ;Carretera de Castela con Travesia Feve;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05108;O ALTO DO CASTIÑEIRO                    ;43.503179 ;-8.195559 ;Rua Torre, S/N;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05109;FERRERÍAS                               ;43.527976 ;-8.150454 ;Camiño do Apeadoiro Prados, S/N;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05110;SANTANDER-FEVE                          ;43.4588690;-3.8110650;;;SANTANDER;CANTABRIA;ESPAÑA;NO;SI;
05111;SEDES                                   ;43.542607 ;-8.140199 ;Carretera Ag-64 - Estacion Ferrocarril, S/N;15570;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05113;PEDROSO DE NARÓN                        ;43.536748 ;-8.109213 ;Calle Aldea Mosteiro, 4;15597;NARÓN;CORUÑA, A;ESPAÑA;SI;SI;
05115;SAN SADURNIÑO                           ;43.546021 ;-8.077931 ;Carretera Dp-7603 - Lugar Orxas, 7;15560;SAN SADURNIÑO;CORUÑA, A;ESPAÑA;SI;SI;
